Filename,City,M0_IoU,M2_IoU
dunedin_146.tif,dunedin,0.858552,0.863209
dunedin_147.tif,dunedin,0.818833,0.850813
dunedin_148.tif,dunedin,0.863762,0.899528
dunedin_149.tif,dunedin,0.926133,0.926328
dunedin_15.tif,dunedin,0.831633,0.803781
dunedin_150.tif,dunedin,0.813062,0.858219
dunedin_151.tif,dunedin,0.843855,0.837781
dunedin_152.tif,dunedin,0.823283,0.856989
dunedin_153.tif,dunedin,0.864062,0.864109
dunedin_154.tif,dunedin,0.828959,0.811753
dunedin_155.tif,dunedin,0.799755,0.807154
dunedin_156.tif,dunedin,0.568240,0.601086
dunedin_157.tif,dunedin,1.000000,1.000000
dunedin_158.tif,dunedin,0.729068,0.847988
dunedin_159.tif,dunedin,0.790403,0.826338
dunedin_16.tif,dunedin,0.703927,0.803758
dunedin_160.tif,dunedin,0.792140,0.854236
dunedin_161.tif,dunedin,0.898323,0.912883
dunedin_162.tif,dunedin,0.901086,0.889975
dunedin_163.tif,dunedin,0.764386,0.857058
dunedin_164.tif,dunedin,0.818087,0.832408
dunedin_165.tif,dunedin,0.824569,0.856724
dunedin_166.tif,dunedin,0.814545,0.844693
dunedin_167.tif,dunedin,0.784049,0.856613
dunedin_168.tif,dunedin,0.724602,0.742703
dunedin_169.tif,dunedin,0.472097,0.705882
dunedin_17.tif,dunedin,0.555442,0.778332
dunedin_170.tif,dunedin,0.715444,0.703184
dunedin_171.tif,dunedin,0.854203,0.863774
dunedin_172.tif,dunedin,0.852456,0.868741
dunedin_173.tif,dunedin,0.745216,0.790815
dunedin_174.tif,dunedin,0.858096,0.882329
dunedin_175.tif,dunedin,0.696334,0.792872
dunedin_176.tif,dunedin,0.728213,0.817453
dunedin_177.tif,dunedin,0.851929,0.867986
dunedin_178.tif,dunedin,0.860419,0.877486
dunedin_179.tif,dunedin,0.791538,0.854901
dunedin_18.tif,dunedin,0.832870,0.862160
dunedin_180.tif,dunedin,0.837621,0.849504
dunedin_181.tif,dunedin,0.845226,0.795968
dunedin_182.tif,dunedin,0.748251,0.841696
dunedin_183.tif,dunedin,0.785075,0.570513
dunedin_184.tif,dunedin,0.867258,0.878461
dunedin_185.tif,dunedin,0.758809,0.828003
dunedin_186.tif,dunedin,0.794494,0.811522
dunedin_187.tif,dunedin,0.958427,0.959367
dunedin_188.tif,dunedin,0.962438,0.953443
dunedin_189.tif,dunedin,0.837652,0.851829
dunedin_19.tif,dunedin,0.819626,0.841504
dunedin_190.tif,dunedin,0.855576,0.853796
dunedin_191.tif,dunedin,0.832115,0.827138
dunedin_192.tif,dunedin,0.843873,0.861031
dunedin_193.tif,dunedin,0.860326,0.899951
dunedin_194.tif,dunedin,0.804621,0.767989
dunedin_195.tif,dunedin,1.000000,1.000000
dunedin_196.tif,dunedin,1.000000,1.000000
dunedin_197.tif,dunedin,0.047217,0.254261
dunedin_198.tif,dunedin,0.669991,0.772871
dunedin_199.tif,dunedin,0.831336,0.872496
dunedin_2.tif,dunedin,0.879382,0.892470
dunedin_20.tif,dunedin,0.805005,0.852024
dunedin_200.tif,dunedin,0.892152,0.830808
dunedin_201.tif,dunedin,0.310167,0.456223
dunedin_202.tif,dunedin,0.844554,0.867063
dunedin_203.tif,dunedin,0.826773,0.850565
dunedin_204.tif,dunedin,0.772265,0.861995
dunedin_205.tif,dunedin,0.865337,0.889755
dunedin_206.tif,dunedin,0.733348,0.836270
dunedin_207.tif,dunedin,0.670385,0.717456
dunedin_208.tif,dunedin,1.000000,1.000000
dunedin_209.tif,dunedin,1.000000,1.000000
dunedin_21.tif,dunedin,0.807241,0.878347
dunedin_210.tif,dunedin,1.000000,1.000000
dunedin_211.tif,dunedin,0.766571,0.814076
dunedin_212.tif,dunedin,0.874501,0.891074
dunedin_213.tif,dunedin,0.582785,0.692985
dunedin_214.tif,dunedin,0.799116,0.819399
dunedin_215.tif,dunedin,0.797715,0.823769
dunedin_216.tif,dunedin,0.845313,0.861434
dunedin_217.tif,dunedin,0.824614,0.835120
dunedin_218.tif,dunedin,0.859472,0.877933
dunedin_219.tif,dunedin,0.874729,0.878727
dunedin_22.tif,dunedin,0.071596,0.716808
dunedin_220.tif,dunedin,0.890865,0.844965
dunedin_221.tif,dunedin,1.000000,1.000000
dunedin_222.tif,dunedin,0.926106,0.897095
dunedin_223.tif,dunedin,0.878665,0.831512
dunedin_224.tif,dunedin,0.550715,0.649748
dunedin_225.tif,dunedin,0.784922,0.872477
dunedin_226.tif,dunedin,0.817162,0.849041
dunedin_227.tif,dunedin,0.773306,0.833273
dunedin_228.tif,dunedin,0.816475,0.847403
dunedin_229.tif,dunedin,0.818276,0.837632
dunedin_23.tif,dunedin,0.741771,0.848143
