image_id,region,mIoU,F1,Boundary_IoU
dunedin_1068,Dunedin,0.6950927824216803,0.8201235821776357,0.39010614684880096
dunedin_1069,Dunedin,0.7747048416798754,0.8730520405257809,0.44988167680981683
dunedin_107,Dunedin,0.6221379310370887,0.7670592236734532,0.3688087376254914
dunedin_1070,Dunedin,0.7678405386632097,0.8686762429871175,0.3962859145069639
dunedin_1071,Dunedin,0.7513089333922389,0.8579970318964619,0.3890426404279699
dunedin_1072,Dunedin,0.7971586799011027,0.8871322146633187,0.41599376032433477
dunedin_1073,Dunedin,0.780440430233107,0.876682439895899,0.4061377734260395
dunedin_1074,Dunedin,0.7220479218150845,0.8385921351757908,0.4075790882170325
dunedin_1075,Dunedin,0.7769599880041774,0.8744822542422632,0.46238791277106944
dunedin_1076,Dunedin,0.74229555275634,0.8520891321589108,0.46473726327163317
dunedin_1077,Dunedin,0.4595846522055133,0.629747170211168,0.2767991618147024
dunedin_1078,Dunedin,0.22041327493923524,0.361210877405787,0.2627484875313095
dunedin_1079,Dunedin,1.904761904399093e-10,1.904761904399093e-10,1.5552099531018336e-10
dunedin_108,Dunedin,0.7017515217955973,0.8247402899983215,0.393425345046959
dunedin_1080,Dunedin,0.6464730290460053,0.7852822580646497,0.3009163920958561
dunedin_1081,Dunedin,0.08437030859125574,0.1556116170323994,0.12732847391457058
dunedin_1082,Dunedin,0.45591291440419673,0.6262914627540356,0.36146020348371316
dunedin_1083,Dunedin,1.0,1.0,1.0
dunedin_1084,Dunedin,1.0,1.0,1.0
dunedin_1085,Dunedin,1.0,1.0,1.0
dunedin_1086,Dunedin,1.0,1.0,1.0
dunedin_1087,Dunedin,1.0,1.0,1.0
dunedin_1088,Dunedin,1.0,1.0,1.0
dunedin_1089,Dunedin,1.0,1.0,1.0
dunedin_109,Dunedin,0.6147850227797288,0.7614450395647232,0.24460032297514836
dunedin_1090,Dunedin,0.5956657806747928,0.7466046936503451,0.2682591692248797
dunedin_1091,Dunedin,0.641535901094528,0.7816288399985782,0.2765306679814488
dunedin_1092,Dunedin,0.7165809107284324,0.8348932535015138,0.38887953531570657
dunedin_1093,Dunedin,0.6781367764260238,0.8082020321014871,0.4655590678539892
dunedin_1094,Dunedin,0.7804713063179894,0.8767019199336666,0.4758279303772408
dunedin_1095,Dunedin,0.746787971387195,0.855041348600605,0.40142626224322253
dunedin_1096,Dunedin,0.8291935230311618,0.9066219758498274,0.5138399891079114
dunedin_1097,Dunedin,0.8190620272317282,0.9005322687958206,0.47969118804219196
dunedin_1098,Dunedin,0.7265316329085689,0.841608249811829,0.435110694110085
dunedin_1099,Dunedin,0.6983147073823557,0.822361961945862,0.4207574880959973
dunedin_11,Dunedin,0.7887711367469374,0.88191398054563,0.4859154929595842
dunedin_110,Dunedin,0.8391802433901249,0.9125590016596214,0.22826279440684163
dunedin_1100,Dunedin,0.7478739919496794,0.8557527549401414,0.4007375965499948
