image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
kitsap_898,Prompt-free LoRA,lora_light,42,3193,485,47,3678,3240,0.8571812080536912,0.923099161607401
kitsap_899,Prompt-free LoRA,lora_light,42,4508,1367,459,5875,4967,0.7117145563624881,0.831580889134846
kitsap_9,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_90,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_900,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_901,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_902,Prompt-free LoRA,lora_light,42,1180,134,58,1314,1238,0.8600583090379009,0.9247648902821317
kitsap_903,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_904,Prompt-free LoRA,lora_light,42,1890,297,150,2187,2040,0.8087291399229781,0.8942512420156139
kitsap_905,Prompt-free LoRA,lora_light,42,3953,402,527,4355,4480,0.8097091356001639,0.8948500282965478
kitsap_906,Prompt-free LoRA,lora_light,42,2178,588,7,2766,2185,0.7854309412188965,0.8798222581296707
kitsap_907,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_908,Prompt-free LoRA,lora_light,42,374,22,51,396,425,0.8366890380313199,0.9110840438489647
kitsap_909,Prompt-free LoRA,lora_light,42,20010,3178,716,23188,20726,0.8370983935742972,0.9113266839732204
kitsap_91,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_910,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_911,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_912,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_913,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_914,Prompt-free LoRA,lora_light,42,2535,371,920,2906,3455,0.6625718766335599,0.7970444898600849
kitsap_915,Prompt-free LoRA,lora_light,42,9395,1539,4387,10934,13782,0.6132106259382547,0.76023628418838
kitsap_916,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_917,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_918,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_919,Prompt-free LoRA,lora_light,42,5467,1609,751,7076,6218,0.6984796218218986,0.8224763051000451
kitsap_92,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_920,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_921,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_922,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_923,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_924,Prompt-free LoRA,lora_light,42,6933,774,1176,7707,8109,0.7804795677136103,0.8767071320182094
kitsap_925,Prompt-free LoRA,lora_light,42,3014,453,1304,3467,4318,0.6317333892265773,0.7743095696852922
kitsap_926,Prompt-free LoRA,lora_light,42,290,0,498,290,788,0.3680203045685279,0.5380333951762524
