method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,123,kitsap_1345,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1345.tif,4992,149,12247,5141,17239,0.28709455,0.44611260,0.35877496
UNetFormer-style ResNet34,123,kitsap_1346,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1346.tif,6783,199,5524,6982,12307,0.54237966,0.70330240,0.44750769
UNetFormer-style ResNet34,123,kitsap_1347,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1347.tif,20025,682,1637,20707,21662,0.89621375,0.94526659,0.79134252
UNetFormer-style ResNet34,123,kitsap_1348,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1348.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1349,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1349.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_135,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_135.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1350,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1350.tif,4322,159,81,4481,4403,0.94739149,0.97298514,0.92137909
UNetFormer-style ResNet34,123,kitsap_1351,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1351.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1352,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1352.tif,6312,173,330,6485,6642,0.92619222,0.96168203,0.83363669
UNetFormer-style ResNet34,123,kitsap_1353,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1353.tif,833,1,1438,834,2271,0.36663732,0.53655395,0.30792683
UNetFormer-style ResNet34,123,kitsap_1354,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1354.tif,0,0,1632,0,1632,0.00000000,0.00000000,0.00000000
UNetFormer-style ResNet34,123,kitsap_1355,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1355.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1356,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1356.tif,1015,0,1844,1015,2859,0.35501924,0.52400620,0.36365896
UNetFormer-style ResNet34,123,kitsap_1357,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1357.tif,6284,408,3252,6692,9536,0.63193886,0.77446389,0.52408139
UNetFormer-style ResNet34,123,kitsap_1358,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1358.tif,269,0,2440,269,2709,0.09929863,0.18065816,0.10263680
UNetFormer-style ResNet34,123,kitsap_1359,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1359.tif,2138,6,576,2144,2714,0.78602941,0.88019761,0.65396069
UNetFormer-style ResNet34,123,kitsap_136,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_136.tif,0,0,47,0,47,0.00000000,0.00000000,0.00000000
UNetFormer-style ResNet34,123,kitsap_1360,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1360.tif,5850,55,2048,5905,7898,0.73557148,0.84764182,0.62333557
UNetFormer-style ResNet34,123,kitsap_1361,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1361.tif,4064,79,1839,4143,5903,0.67937145,0.80907824,0.65904833
UNetFormer-style ResNet34,123,kitsap_1362,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1362.tif,5630,127,361,5757,5991,0.92023537,0.95846101,0.87231369
UNetFormer-style ResNet34,123,kitsap_1364,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1364.tif,3833,168,250,4001,4083,0.90167020,0.94829292,0.84885440
