image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
khartoum_10,Khartoum,456,DeepLabv3+ ResNet50,0.17738198072316047,0.30131594270490125,0.1310815214881254
khartoum_100,Khartoum,456,DeepLabv3+ ResNet50,0.2546455117220488,0.40592423810947775,0.14182271008407474
khartoum_1000,Khartoum,456,DeepLabv3+ ResNet50,0.5726069574018368,0.7282264073758774,0.1114063641858008
khartoum_1001,Khartoum,456,DeepLabv3+ ResNet50,0.7952559300879588,0.8859527121003153,0.3379184861765799
khartoum_1002,Khartoum,456,DeepLabv3+ ResNet50,0.2885742187534737,0.44789693065764347,0.16067574608051888
khartoum_1003,Khartoum,456,DeepLabv3+ ResNet50,0.5549697324828164,0.7138013311601934,0.18092105265230463
khartoum_1004,Khartoum,456,DeepLabv3+ ResNet50,0.19291587605335497,0.3234358430720192,0.16974840863383606
khartoum_1005,Khartoum,456,DeepLabv3+ ResNet50,0.9255703147565293,0.9613466801636061,0.5296037296146945
khartoum_1006,Khartoum,456,DeepLabv3+ ResNet50,1.6152479405327854e-11,1.6152479405327854e-11,2.5766555010931034e-11
khartoum_1007,Khartoum,456,DeepLabv3+ ResNet50,0.5744853958215402,0.7297436957434387,0.1627906976853568
khartoum_1008,Khartoum,456,DeepLabv3+ ResNet50,0.10275724844936387,0.186364222204068,0.06599574222825633
khartoum_1009,Khartoum,456,DeepLabv3+ ResNet50,0.16398481288801328,0.2817645231549897,0.03499327055087501
khartoum_101,Khartoum,456,DeepLabv3+ ResNet50,0.40616090675299676,0.5776876668979606,0.16299202790494832
khartoum_1010,Khartoum,456,DeepLabv3+ ResNet50,1.0224948874210128e-10,1.0224948874210128e-10,9.115770281757905e-11
khartoum_102,Khartoum,456,DeepLabv3+ ResNet50,0.4715546859646022,0.6408931865897062,0.20827262184541873
khartoum_103,Khartoum,456,DeepLabv3+ ResNet50,0.5585188289860151,0.7167302936587079,0.22170347655441944
